Pickup Location,Drop Location,Ride Distance,Booking Value,Avg Customer Arrival Time,Driver Ratings,Avg Vehicle Arrival Time,Customer Rating,Hour,Cancelled by Customer,Cancelled by Driver,Completed,Incomplete,No Driver Found,Auto,Bike,Go Mini,Go Sedan,Premier Sedan,Uber XL,eBike,Cash,Credit Card,Debit Card,UPI,Uber Wallet,Apr,Aug,Dec,Feb,Jan,Jul,Jun,Mar,May,Nov,Oct,Sep
763,752,20.2,272.37,4.32,3.6,3.02,3.53,18,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5202,807,6.21,67.67,2.49,4.24,1.6,4.44,14,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3716,798,16.17,186.88,4.4,4.12,2.8,4.01,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
778,785,10.49,89.87,4.41,4.04,2.56,3.96,15,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4733,754,10.32,159.61,4.62,4.04,2.54,3.9,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
5592,3484,9.19,116.39,3.6,3.57,2.86,3.17,19,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3600,5670,2.84,49.31,8.59,3.53,7.75,2.35,19,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5592,819,2.09,73.9,3.09,4.52,2.16,4.8,8,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4744,779,14.68,143.56,3.46,4.57,2.51,4.49,19,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
770,4966,0.96,34.93,3.6,4.42,2.72,4.44,5,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
